layout,n_u,n_c,n_t,n_paired_genes,n_layout_transcripts,n_control_transcripts,median_TE_layout,median_TE_control,abs_diff,pct_change,l2fc,Wilcoxon_W,Wilcoxon_pval,significance
u0_c0_t1,0,0,1,1800,3286,9407,1.5405,1.3849,0.1557,11.24,0.1537,522686,6.54059e-39,***
u0_c0_t2,0,0,2,634,921,3131,1.6789,1.4251,0.2538,17.81,0.2364,56100,4.66702e-22,***
u0_c0_t3,0,0,3,273,375,1114,1.6015,1.3172,0.2842,21.58,0.2819,9103,1.97552e-13,***
u0_c0_t4,0,0,4,114,152,455,2.2163,1.6036,0.6127,38.21,0.4669,1566,1.30437e-06,***
u0_c0_t5,0,0,5,68,82,252,1.99,1.5125,0.4775,31.57,0.3959,640,0.00112668,**
u0_c0_t6,0,0,6,41,50,200,1.6394,1.3841,0.2553,18.44,0.2442,188,0.00125501,**
u0_c1_t0,0,1,0,509,671,3890,1.3795,1.7087,-0.3292,-19.27,-0.3088,30740,7.92365e-25,***
u0_c1_t1,0,1,1,192,217,1376,1.5545,1.6894,-0.1349,-7.98,-0.12,6851,0.00174982,**
u0_c1_t2,0,1,2,34,35,267,1.4718,1.3172,0.1546,11.74,0.1601,257,0.498895,ns
u1_c0_t0,1,0,0,650,1063,4999,1.5218,1.2853,0.2365,18.4,0.2437,45906,7.19322e-36,***
u1_c0_t1,1,0,1,42,70,172,1.6838,1.4011,0.2827,20.18,0.2651,262,0.0170077,*
u2_c0_t0,2,0,0,79,90,627,1.6717,1.36,0.3116,22.91,0.2977,549,4.69026e-07,***
