region,n_paired_genes,median_TE_alu_plus,median_TE_alu_minus,abs_diff,pct_change,l2fc,Wilcoxon_W,Wilcoxon_pval,significance
All exonic,3362,1.5568,1.3915,0.1653,11.88,0.1619,1.85251e+06,4.24179e-67,***
layout_u0_c0_t1,1800,1.5405,1.3849,0.1557,11.24,0.1537,522686,6.54059e-39,***
layout_u0_c0_t2,634,1.6789,1.4251,0.2538,17.81,0.2364,56100,4.66702e-22,***
layout_u0_c0_t3,273,1.6015,1.3172,0.2842,21.58,0.2819,9103,1.97552e-13,***
layout_u0_c0_t4,114,2.2163,1.6036,0.6127,38.21,0.4669,1566,1.30437e-06,***
layout_u0_c0_t5,68,1.99,1.5125,0.4775,31.57,0.3959,640,0.00112668,**
layout_u0_c0_t6,41,1.6394,1.3841,0.2553,18.44,0.2442,188,0.00125501,**
layout_u0_c1_t0,509,1.3795,1.7087,-0.3292,-19.27,-0.3088,30740,7.92365e-25,***
layout_u0_c1_t1,192,1.5545,1.6894,-0.1349,-7.98,-0.12,6851,0.00174982,**
layout_u0_c1_t2,34,1.4718,1.3172,0.1546,11.74,0.1601,257,0.498895,ns
layout_u1_c0_t0,650,1.5218,1.2853,0.2365,18.4,0.2437,45906,7.19322e-36,***
